# fixed mirror figure, mode=medial, layout=axicon
# generated 2026-08-14 by scripts/run_axicon_medial_buie.py: R = 4 FtFs/(Ft+Fs), the medial-power sphere; analytic, sun-independent
# spherical (R = 2 Ft) is the reference this competes against; see fixed_shapes_axicon_spherical.csv
heliostat,x_mm,y_mm,c3,c4,c5
62,-13399.5144401172,-32349.289490545303,0.0,-1.3368290142460826e-06,0.0
63,-6831.01322371415,-34341.822550811994,0.0,-1.336829014246082e-06,0.0
64,3946.5776840866197,-40070.2756744661,0.0,-1.2322308165205617e-06,0.0
65,11688.0682851266,-38530.3974519658,0.0,-1.2322308165205627e-06,0.0
66,18980.3929767134,-35509.817663482405,0.0,-1.232230816520562e-06,0.0
67,25543.3118105322,-31124.6154963265,0.0,-1.2322308165205613e-06,0.0
68,31124.6154963265,-25543.3118105322,0.0,-1.2322308165205613e-06,0.0
69,35509.817663482405,-18980.3929767134,0.0,-1.232230816520562e-06,0.0
70,38530.3974519658,-11688.0682851266,0.0,-1.2322308165205627e-06,0.0
71,40070.2756744661,-3946.5776840865997,0.0,-1.2322308165205617e-06,0.0
72,40070.2756744661,3946.57768408661,0.0,-1.2322308165205617e-06,0.0
73,38530.3974519658,11688.0682851266,0.0,-1.2322308165205627e-06,0.0
74,35509.817663482405,18980.3929767134,0.0,-1.232230816520562e-06,0.0
75,31124.6154963265,25543.3118105322,0.0,-1.2322308165205613e-06,0.0
76,25543.3118105322,31124.6154963265,0.0,-1.2322308165205613e-06,0.0
77,18980.3929767134,35509.817663482405,0.0,-1.232230816520562e-06,0.0
78,11688.0682851266,38530.3974519658,0.0,-1.2322308165205627e-06,0.0
79,3946.5776840865997,40070.2756744661,0.0,-1.2322308165205617e-06,0.0
80,-3946.57768408661,40070.2756744661,0.0,-1.2322308165205617e-06,0.0
81,-11688.0682851266,38530.3974519658,0.0,-1.2322308165205627e-06,0.0
82,-18980.3929767134,35509.817663482405,0.0,-1.232230816520562e-06,0.0
83,-25543.3118105322,31124.615496326398,0.0,-1.2322308165205627e-06,0.0
84,-31124.6154963265,25543.3118105322,0.0,-1.2322308165205613e-06,0.0
85,-35509.817663482405,18980.3929767134,0.0,-1.232230816520562e-06,0.0
86,-38530.3974519658,11688.0682851266,0.0,-1.2322308165205627e-06,0.0
87,-40070.2756744661,3946.5776840865997,0.0,-1.2322308165205617e-06,0.0
88,-40070.2756744661,-3946.57768408661,0.0,-1.2322308165205617e-06,0.0
89,-38530.3974519658,-11688.0682851266,0.0,-1.2322308165205627e-06,0.0
90,-35509.817663482405,-18980.3929767134,0.0,-1.232230816520562e-06,0.0
91,-31124.6154963265,-25543.3118105322,0.0,-1.2322308165205613e-06,0.0
92,-25543.3118105322,-31124.6154963265,0.0,-1.2322308165205613e-06,0.0
93,-18980.3929767134,-35509.817663482405,0.0,-1.232230816520562e-06,0.0
94,-11688.0682851266,-38530.3974519658,0.0,-1.2322308165205627e-06,0.0
95,-3946.5776840865997,-40070.2756744661,0.0,-1.2322308165205617e-06,0.0
96,3014.76446879802,-45996.4173283991,0.0,-1.1331638570089653e-06,0.0
97,8992.7099504825,-45209.405875294105,0.0,-1.1331638570089649e-06,0.0
98,14816.787671663898,-43648.848953247405,0.0,-1.133163857008966e-06,0.0
99,20387.3460477936,-41341.4481238635,0.0,-1.133163857008965e-06,0.0
100,25609.071280605298,-38326.683655065404,0.0,-1.1331638570089653e-06,0.0
101,30392.61820363,-34656.1390027649,0.0,-1.1331638570089647e-06,0.0
102,34656.1390027648,-30392.6182036301,0.0,-1.1331638570089649e-06,0.0
103,38326.6836550653,-25609.0712806054,0.0,-1.133163857008966e-06,0.0
104,41341.4481238634,-20387.346047793697,0.0,-1.133163857008966e-06,0.0
105,43648.848953247405,-14816.787671664,0.0,-1.133163857008965e-06,0.0
106,45209.405875294105,-8992.70995048261,0.0,-1.1331638570089644e-06,0.0
107,45996.4173283991,-3014.7644687981397,0.0,-1.1331638570089653e-06,0.0
108,45996.4173283991,3014.76446879807,0.0,-1.1331638570089653e-06,0.0
109,45209.405875294105,8992.70995048254,0.0,-1.1331638570089647e-06,0.0
110,43648.848953247405,14816.787671664,0.0,-1.133163857008965e-06,0.0
